CustomerID,Name,Age,Gender,MembershipLevel,IncomeLevel,ElectronicsSpending,ClothingSpending,GrocerySpending,HomeSpending,Visits,PurchaseFrequency,OnlineActivity,EmailOpens,AppUsage,LoyaltyPoints
CUST0000,Customer_0,23,Male,Bronze,43734.05759763925,421.7381203551995,222.4164819840736,194.3095239059744,131.79946123435,9,4,10.804470924719883,23.810323675114393,13.744780159571118,132.0839865051569
CUST0001,Customer_1,21,Female,Bronze,53229.904790236,467.5544822505934,241.55513171224322,212.70111096631751,203.24618571211562,6,1,23.47562892158568,23.993963028249556,14.29890751321496,136.00419799800366
CUST0002,Customer_2,23,Female,Silver,41903.08996454553,564.8842857719017,364.0850586039026,134.18290586564586,157.5564633840694,5,1,20.76629264513427,26.572724898565617,16.614998986391488,95.19749177381888
CUST0003,Customer_3,19,Female,Silver,40575.517958825825,487.2693706525512,238.41987675527318,245.58595418254313,0.0,7,2,25.365966247300115,23.977571795286952,26.703731670515232,169.12955561052107
CUST0004,Customer_4,26,Male,Silver,47890.51052798821,374.6972210783498,101.21293974181862,0.0,0.0,7,1,25.380212937134857,25.91098380519575,16.057935061630083,154.9113393853723
CUST0005,Customer_5,23,Female,Silver,45235.06089746529,616.8941285432393,93.61016654599634,266.00053955071803,292.6516468575364,7,1,24.63422611985007,21.756643137523938,17.33897376631576,159.08367052007773
CUST0006,Customer_6,23,Female,Gold,41575.51819828037,454.94661417402176,109.44423281050253,186.04890781105945,108.65787486536058,10,1,19.089760868500804,23.271829209372804,19.363525489952586,205.61677948871875
CUST0007,Customer_7,30,Male,Bronze,49913.665384875705,499.30592456455724,295.6630383710946,109.96779826526655,88.38341031902277,4,1,27.81320644999851,21.370922689489007,11.12978534626748,126.20665564124037
CUST0008,Customer_8,28,Female,Gold,44516.17681520529,554.9921204062349,74.86757742488908,83.96950454389261,69.33567803684761,5,6,17.51867102359322,24.744652965778037,11.669696898847857,121.58637525475262
CUST0009,Customer_9,26,Female,Silver,38502.415395066215,403.7261686621787,191.35271932583836,86.39829835442941,37.75106312199377,8,3,20.791169883869934,21.747504744456467,21.185080364682307,94.20563345823342
CUST0010,Customer_10,27,Male,Gold,55667.85598476743,666.5034763925464,12.008878139675687,94.73730357848484,136.86593871932945,5,1,22.31354498160365,26.203964694080874,14.772986723565818,143.50810178487026
CUST0011,Customer_11,27,Male,Gold,48512.44345621218,472.80994633482015,86.29129366616972,249.96728047506724,163.14894632630418,5,1,27.437558072081345,23.816449392543024,11.398510035705934,128.90198692772927
CUST0012,Customer_12,25,Female,Bronze,48880.01887857565,594.8940699139911,212.5649158111225,287.9207646952623,207.33169690894266,7,1,17.861445679557555,24.223721905135655,6.447352107374845,140.56935475687956
CUST0013,Customer_13,29,Male,Gold,46557.104311296294,409.86027544282734,121.33856431352034,252.61527228813708,167.17072915269787,6,3,27.269988932474504,27.365781571976388,17.834470353935437,132.06498697514286
CUST0014,Customer_14,25,Male,Bronze,36122.14902249475,485.06590434832805,204.42850601475533,37.99259344852152,117.4712374428872,9,1,18.20052683943047,25.314784655350447,18.17120148132145,228.8328564313478
CUST0015,Customer_15,22,Male,Silver,49396.93621019098,501.5890907152316,211.9281284053196,262.0512218494668,117.02746423126099,4,1,29.822167236601594,25.5160867114132,13.134404051748186,152.10791192434453
CUST0016,Customer_16,34,Female,Gold,45639.06600916578,468.8416680218006,225.0598705114523,231.6975709568625,85.10988172272485,7,1,24.68199381893126,22.1518894327455,13.91271511547988,122.74227954798573
CUST0017,Customer_17,24,Female,Silver,41727.394515199885,238.19317518121713,179.19816481571274,280.63297895410886,86.45889759291605,7,1,16.47151222979455,19.747714470796982,9.87250065139922,101.50881165994842
CUST0018,Customer_18,27,Male,Bronze,54689.62171942981,403.30566250434873,36.818174374969686,236.67973311639798,0.0,5,2,22.173451927232186,19.93847447400247,15.341756255519144,124.71773508285327
CUST0019,Customer_19,31,Female,Silver,42415.97632889302,378.6587462677585,160.49668260124338,129.72383868098936,179.56436518043213,4,2,20.293572791800162,24.33046901327681,14.761781444214778,152.5608337315334
